iter	MultiClass
252	0.4308091775
253	0.429722915
254	0.4288091779
255	0.4273683923
256	0.4261116831
257	0.4246775234
258	0.4232781616
259	0.4225364883
260	0.4209404271
261	0.4195375743
262	0.4178603569
263	0.4171799997
264	0.4161599733
265	0.4148035335
266	0.4136800825
267	0.4130381783
268	0.411365566
269	0.4105776279
270	0.4093065162
271	0.4089250925
272	0.4082305445
273	0.4071401069
274	0.4060046139
275	0.4050765619
276	0.4044435204
277	0.4032230072
278	0.4019221025
279	0.4005549627
280	0.3998856168
281	0.39834572
282	0.3975441877
283	0.3961573191
284	0.3945834974
285	0.3931761195
286	0.3925521045
287	0.3920861798
288	0.3909650148
289	0.3897974458
290	0.3889228324
291	0.3874125583
292	0.3865220196
293	0.3851360731
294	0.384199781
295	0.383466919
296	0.3823004138
297	0.3815917838
298	0.3805983116
299	0.3795902453
300	0.3793485652
301	0.3788189881
302	0.3776727129
303	0.3770928478
304	0.376456829
305	0.3748595791
306	0.373515307
307	0.372750203
308	0.371844572
309	0.3710538326
310	0.3698768549
311	0.3689799773
312	0.3668502125
313	0.3657538837
314	0.3645841565
315	0.3635165062
316	0.3624190623
317	0.3610022731
318	0.3596056233
319	0.3587315694
32320	0.358210054321	0.3575210717
322	0.3570670211
323	0.3566717553
324	0.3554156126
325	0.3543177625
326	0.3539069785
327	0.3532002267
328	0.3525642309
329	0.3518975984
330	0.3513002745
331	0.350511908
332	0.3498550739
333	0.3486608136
334	0.3478620525
335	0.3470325963
336	0.3461787768
337	0.3455969494
338	0.3444424081
339	0.3442083408
340	0.3432103116
341	0.3424841718
342	0.3415880758
343	0.3409624307
344	0.3398519305
345	0.3393352823
346	0.3384179234
347	0.3375866461
348	0.3371092456
349	0.3365316363
350	0.3353249448
351	0.3347088798
352	0.3339382016
353	0.3329233589
354	0.3320197314
355	0.3309968755
356	0.3302723175
357	0.3291580181
358	0.3281484285
359	0.3270977042
360	0.326344683
361	0.3258103239
362	0.3250871158
363	0.3243078606
364	0.3233411059
365	0.3223434042
366	0.3213812348
367	0.3206804105
368	0.3198278327
369	0.3194813058
370	0.3185117736
371	0.317972838
372	0.3174807631
373	0.3169789695
374	0.3162175121
375	0.3155673711
376	0.3142891106
377	0.3136093697
378	0.3129263016
379	0.3121644672
380	0.3116890771
381	0.3105500434
382	0.3096816536
383	0.308944944
384	0.3081474844
385	0.3078822533
386	0.3074645124
387	0.3069915374
388	0.3065179324
389	0.3058511498
390	0.3051547027
391	0.304503474
392	0.3038393328
393	0.302896038
394	0.3019062344
395	0.3013196037
396	0.3003873778
397	0.2997903613
398	0.2987496365
399	0.2980375585
400	0.2974610588
401	0.2973138854
402	0.2967961868
403	0.296084035
404	0.2952363792
405	0.294528845
406	0.2937338017
407	0.2933717092
408	0.2927165246
409	0.2922950162
410	0.2912414724
411	0.2906778342
412	0.2894164625
413	0.2887835407
414	0.2883516207
415	0.2880146411
416	0.2875632185
417	0.2870947292
418	0.2860948262
419	0.2853248747
420	0.2848452668
421	0.2838855814
422	0.2831157421
423	0.2820555325
424	0.2815436244
425	0.2806620898
426	0.2801158405
427	0.2795839337
428	0.2787393818
429	0.2778920414
430	0.2768846991
431	0.2760773222
432	0.2757318083
433	0.2748616454
434	0.273806942
435	0.2731388319
436	0.2728733047
437	0.2723994462
438	0.2715812012
439	0.2713125159
440	0.2706314683
441	0.2701139542
442	0.2696632108
443	0.2688700394
444	0.2684682009
445	0.268066631
446	0.2674059233
447	0.2670312184
448	0.2666824279
449	0.2661266082
450	0.2659232018
451	0.2649070523
452	0.2642852447
453	0.2636980256
454	0.2631993888
455	0.2626404809
456	0.2622625279
457	0.2616290239
458	0.2608120742
459	0.2600630348
460	0.2598059608
461	0.2591666291
462	0.2588042108
463	0.2577678573
464	0.2570426447
465	0.2561323827
466	0.2554403736
467	0.254647416
468	0.2541708264
469	0.2538787736
470	0.253537266
471	0.2527273596
472	0.2520098427
473	0.2514334572
474	0.2509535123
475	0.2501349202
476	0.2493802935
477	0.2490645394
478	0.2485464586
479	0.248099595
4481	0.24143024484482	0.24089648974483	0.24037167964484	0.24010221694485	0.23983001474486	0.23932942434487	0.23857484724488	0.23786794164489	0.23740410524490	0.237104965
491	0.2363146882
492	0.2358086592
493	0.2352487229
494	0.2346854117
495	0.2343629378
496	0.2341573641
497	0.2337226847
498	0.2331335311
499	0.2329066918
500	0.2326140626
501	0.2321166209
502	0.2314788714
503	0.230937283
504	0.230406734
505	0.2295085246
506	0.2289848167
507	0.2282261629
508	0.2277477994
509	0.2272120529
510	0.2262775574
511	0.2257703063
512	0.2256419357
513	0.2253940691
514	0.2248753
515	0.2245510239
516	0.2239833842
517	0.22362986
518	0.2233764895
519	0.2227013386
520	0.2222372904
521	0.2219630492
522	0.2215166553
523	0.2211148497
524	0.2205406666
525	0.2201509885
526	0.2195751263
527	0.2187694756
528	0.2185416921
529	0.2182695222
530	0.2179203781
531	0.217442235
532	0.2172513716
533	0.2167960914
534	0.2162524643
535	0.2161095902
536	0.2156885326
537	0.2151983352
538	0.2144867355
539	0.214120336
540	0.213616563
541	0.2133283409
542	0.21292341
543	0.2124696412
544	0.211796079
545	0.2112550242
546	0.2108030783
547	0.2100179601
548	0.2093992176
549	0.2088232585
550	0.2082774938
551	0.2078174867
552	0.2072835622
553	0.2068923408
554	0.2065499765
555	0.2060071293
556	0.2056626813
557	0.2050026539
558	0.204385036
559	0.2038906454
560	0.2035899076
561	0.2029636299
562	0.2026072388
563	0.202254953
564	0.2018254866
565	0.2014009215
566	0.2008590361
567	0.2003606184
568	0.1999352698
569	0.1997383604
570	0.1991967996
571	0.1986046783
572	0.1978615061
573	0.1975342329
574	0.1973116203
575	0.1970810263
576	0.1968630346
577	0.1964838542
578	0.1960536586
579	0.1956647013
580	0.1954568887
581	0.1951060475
582	0.1947861209
583	0.194227147
584	0.1938110345
585	0.1934285938
586	0.1929257605
587	0.1923115965
588	0.1919913567
589	0.1918052505
590	0.1914058776
591	0.1909855196
592	0.1904816525
593	0.1903344404
594	0.1900807093
595	0.1898557169
596	0.1894060248
597	0.189071779
598	0.1886528418
599	0.1883822283
600	0.1878070183
601	0.1876115702
602	0.1870202419
603	0.1868482424
604	0.1863109347
605	0.1859777065
606	0.1856375469
607	0.1854740154
608	0.1847952437
609	0.184433507
610	0.1840586784
611	0.183721528
612	0.1835358837
613	0.183194795
614	0.1829872768
615	0.1827543412
616	0.1823365165
617	0.1819273964
618	0.1815707476
619	0.1811787192
620	0.1809096575
621	0.1803968061
622	0.1798910214
623	0.1795964208
624	0.1790474512
625	0.1787732063
626	0.178346604
627	0.178017179
628	0.1776622464
629	0.1771676972
630	0.1765323376
631	0.1762156966
632	0.1759595166
633	0.1757456826
634	0.1752071149
635	0.1746298083
636	0.1741397332
637	0.1737896515
638	0.17366674
639	0.1733050469
640	0.1726856882
641	0.1724840887
642	0.1721961828
643	0.1718711478
644	0.1717124958
645	0.1714671495
646	0.1712129829
647	0.1709195313
648	0.1704106922
649	0.1700280934
650	0.1696876072
651	0.1694458904
652	0.1690414954
653	0.1687614328
654	0.1684318831
655	0.1682130472
656	0.1678860006
657	0.1676659928
658	0.1673542404
659	0.1672080531
660	0.1668125908
661	0.166381065
662	0.1660503451
663	0.1657804853
664	0.1655291901
665	0.1651788726
666	0.164941561
667	0.1646958794
668	0.1643310331
669	0.1640479094
670	0.1638549763
671	0.1635405992
672	0.163120986
673	0.1627186286
674	0.162233076
675	0.1620002636
676	0.1618304878
677	0.1616309184
678	0.1614461417
679	0.1609715005
680	0.1605190763
681	0.1603422068
682	0.1600814667
683	0.1598151672
684	0.1594342027
685	0.1592584795
686	0.1590818551
687	0.1588823747
688	0.1586432703
689	0.1582735545
690	0.1578884791
691	0.157526118
692	0.1571042424
693	0.1567445359
694	0.1565546888
695	0.1562854582
696	0.1560728997
697	0.155771278
698	0.1555835779
699	0.155410796
700	0.1552021882
701	0.1547360855
702	0.1544802002
703	0.154152431
704	0.1538274971
705	0.153570117
706	0.1531969655
707	0.1529666512
708	0.1525604145
709	0.1523317086
710	0.1521372797
711	0.1517954754
712	0.1516566226
713	0.1514828382
714	0.1511089536
715	0.1508333109
716	0.1505137608
717	0.1502661251
718	0.1501851423
719	0.149972031
720	0.1496419932
721	0.1495313866
722	0.1493506426
723	0.149037437
724	0.1487035397
725	0.1485059585
726	0.1481913014
727	0.1479442349
728	0.1476929508
729	0.1474859305
730	0.1472173764
731	0.1470707376
732	0.1468312483
733	0.1466838632
734	0.1463712719
735	0.1461855179
736	0.1460419947
737	0.1457521505
738	0.1455255701
739	0.1453153409
740	0.1451785739	741	0.1449130107
742	0.1446933068
743	0.1444867742	744	0.1442670498
745	0.1441041743
746	0.1440237434
747	0.1436503345
748	0.14343747	0.749	0.14329748	0.750	0.14309749	0.751	0.14286750	0.752	0.14259751	0.753	0.14221752	0.754	0.14190753	755	0.1415454754756	0.14137121755	0.1456690493
756	0.1452539044
757	0.1450223727
75760	0.140330276759	0.1446728092
76762	0.13972195676763	0.13944523576764	0.13924435176765	0.13918392
766	0.1389659294
767	0.13874279017768	0.13856186157769	0.138309881
770	0.1381291796
771	0.1378835931
772	0.1375665818
773	0.1373012356
772	0.1419980995
773	0.14189624217774	0.1416202643777	0.1364688192
778	0.1363220515
779	0.1360882696
780	0.1358838105
781	0.1357017386
782	0.1354860111
783	0.1352517067
784	0.1349539046
785	0.1347445533
786	0.13459722437787	0.13445470537788	0.134206008787	0.1387218374
788	0.1384844349
789	0.1383523218
790	0.1380674025
79793	0.13296979792794	0.13284412793	0.1374130431
794	0.1371499135
795	0.1368976271
796	0.1366596714
797	0.136339207
798	0.1361486562
799	0.1358642427
800	0.1356294795
801	0.1354602836
802	0.1351886997
803	0.1349803805
804	0.1347258026
805	0.1344805103
806	0.1341780421
807	0.1338906205
808	0.1337465052
809	0.1336008435
810	0.1334873589
811	0.1332147733
812	0.1330850038
813	0.1329294719
814	0.1326768109
815	0.1324623511
816	0.1322855687
817	0.1321694876
818	0.1319877775
819	0.1318515477
820	0.131593462
821	0.1313833206
822	0.1312729934
823	0.1311059684
824	0.1309103254
825	0.1307941687
826	0.1305865752
827	0.1303282097
828	0.1301003179
829	0.1299247569
830	0.1298467041
831	0.1296364439
832	0.1294649404
833	0.1293472802
834	0.1291098442
835	0.1289586699
836	0.1287850591
837	0.128516001
838	0.1282751102
839	0.1280382257
840	0.1278695231
841	0.1276123195
842	0.127520421
843	0.1274499555
844	0.1272815794
845	0.1269616178
846	0.1268115215
847	0.126646143
848	0.1265191037
849851	0.12133219850	0.1263465674
851	0.1262530603
852	0.1260644645
853	0.1258226874
85856	0.12047410485857	0.120351
858	0.1202531383
859	0.120012207
860	0.1198155114
861	0.1195529279
862	0.1194190362
863	0.1192980314
864	0.1191211623
865	0.1189618631
866864	0.12413128867865	0.12403548868866	0.1239222869	867	0.1237966870	868	0.1236255111
869	0.1235478872	870	0.1234276698
871	0.123105986
872	0.12280161875873	0.12269363876874	0.12259484877875	0.12236448878876	0.12212227879877	0.12205536880878	0.1216773988879	0.12143108988880	0.12133715488881	0.12119775188882	0.12083872788883	0.12066390988884	0.120556246887	0.1158238116
886	0.1202673611
887	0.1200765641
888	0.1199186773
889	0.1197344614
890	0.1196247051
891	0.1195827693
892	0.1193516988
893	0.1192021587
896	0.1143664015
895	0.1188761843
896	0.118769083
897	0.118619966
898	0.1185461229
899	0.118444763
900	0.1183160995
901	0.1180228192
902	0.1178477372
903	0.1177141837
904	0.1176049256
905	0.1174447911
906	0.1172975424
907	0.1170605496
908	0.1169157479
909	0.1166927603
910	0.1165178656
911	0.1163083897
912	0.1161719871
913	0.1159720656
914	0.1157269347
915	0.1156078493
916	0.1153904471
917	0.1151850129
918	0.1150334944
919	0.1147465787
920	0.1145474453
921	0.1143328016
922	0.1142050217
923	0.1140475704
924	0.1138454395
925	0.1137149725
926	0.1136400719
927	0.1135502887
928	0.1133536067
929	0.1131699209
930	0.113017197
931	0.1128254919
932	0.1126791011
933	0.1126170466
934	0.1125572689
935	0.1124881942
936	0.1123318009
937	0.1121493212
938	0.1119987554
939	0.1118345882
940	0.111615579
941	0.1115567875
942	0.1114765903
943	0.1112891162
944	0.1111458278
945	0.1110366094
946	0.110785028
947	0.1105333932
948	0.110401037
949	0.1103072065
950	0.1100678601
951	0.1099994227
952	0.1097991779
953	0.1097257283
954	0.1094979084
955	0.1093712964
956	0.1091496801
957	0.108944388
958	0.1087987562
959	0.1087388038
960	0.1086781866
961	0.1085005828
962	0.1084180951
963	0.1082877084
964	0.1081143882
965	0.1079168484
966	0.1077770938
967	0.1074719135
968	0.1072917826
969	0.1071090126
970	0.1070510655
971	0.1068773802
972	0.1067470443
973	0.1065611582
974	0.1064217015
975	0.1063410017
976	0.1061966435
977	0.1060432445
978	0.1058555607
979	0.1056826805
980	0.1055904356
981	0.1053238903
982	0.105142288
983	0.1050326329
984	0.1049315544
985	0.1047469221
986	0.1046794865
987	0.1045660931
988	0.1044077459
989	0.1042660279
990	0.1041729525
991	0.1040912928
992	0.1039694212
993	0.1038357209
994	0.1037292962
995	0.1035945411
996	0.1032957473
997	0.1031356227
998	0.1030055707
999	0.1028611944

1
